"CCA","Ind.Count.Total","Ind.Count.Total.5..","Ind.Count.Total.95..","HH.Count.Total","HH.Count.Total.5..","HH.Count.Total.95..","Ind25.Count.Total","Ind25.Count.Total.5..","Ind25.Count.Total.95..","LF.Count.Total","LF.Count.Total.5..","LF.Count.Total.95..","Ind.Count.White","Ind.Count.White.5..","Ind.Count.White.95..","Ind.Count.BlackAA","Ind.Count.BlackAA.5..","Ind.Count.BlackAA.95..","Ind.Count.Hispanic","Ind.Count.Hispanic.5..","Ind.Count.Hispanic.95..","Ind.Count.100FPL","Ind.Count.100FPL.5..","Ind.Count.100FPL.95..","LF.Count.Employed","LF.Count.Employed.5..","LF.Count.Employed.95..","LF.Count.Unemployed","LF.Count.Unemployed.5..","LF.Count.Unemployed.95..","Ind25.Count.LessThanHS","Ind25.Count.LessThanHS.5..","Ind25.Count.LessThanHS.95..","Ind25.Count.HSGrad","Ind25.Count.HSGrad.5..","Ind25.Count.HSGrad.95..","Ind25.Count.Bachelors","Ind25.Count.Bachelors.5..","Ind25.Count.Bachelors.95.."
"LAKE VIEW",96942.6878566186,87770.8908973497,106114.484815887,96508.2869409874,87355.2397847519,105661.334097223,73624.7573057384,66021.8861780015,81227.6284334753,72436.4943857538,64603.0000440784,80269.9887274293,82818.9313843971,73676.7325584015,91961.1302103927,3431.43327810804,1091.74462808804,5771.12192812805,6991.40982262953,3171.88108739184,10810.9385578672,96724.061957338,87566.1146485396,105882.009266136,69797.6421633204,62037.7424545642,77557.5418720766,2638.85222243345,945.442227298342,4332.26221756856,1742.72358332425,309.987199273393,3175.45996737512,4599.35427180407,1837.70421739492,7361.00432621321,57869.1213226813,50605.2918737818,65132.9507715809
"LINCOLN PARK",66959,60237.598127436,73680.401872564,63227,56778.5738357386,69675.4261642614,46924,42039.4346701168,51808.5653298832,45388,40530.4322676412,50245.5677323588,57503,50738.6019536008,64267.3980463992,3253,1220.18089751225,5285.81910248775,4418,1883.22556576171,6952.77443423829,63645,57166.5765051559,70123.4234948441,43493,38731.4237255058,48254.5762744942,1895,770.100103148689,3019.89989685131,1312,497.07251916994,2126.92748083006,2636,1176.12991164186,4095.87008835814,38835,34128.4188315741,43541.5811684259
"LINCOLN SQUARE",40761,36730.3586807043,44791.6413192957,40151,36207.3509393942,44094.6490606058,32056,29149.2586665362,34962.7413334638,26529,23658.2554632355,29399.7445367645,31153,27284.3442658509,35021.6557341491,1525,298.109179167504,2751.8908208325,7184,4271.25920041968,10096.7407995803,40177,36234.3508504136,44119.6491495864,24664,21936.242739013,27391.757260987,1865,776.096899847931,2953.90310015207,3290,1809.13178023396,4770.86821976604,3778,2202.14023338874,5353.85976661126,18676,16235.2172015875,21116.7827984125
"LOGAN SQUARE",73629.820368881,65182.2842059151,82077.3565318469,73176.820368881,64750.282337323,81603.358400439,51244.6699086918,45635.015259507,56854.3245578767,44895.3031215849,39244.9104037496,50545.6958394202,59560.1744595075,51264.3412176762,67856.0077013388,4102.21402285329,1130.27308907987,7074.15495662671,34655.9568425113,26591.8205620058,42720.0931230169,73222.5987557252,64838.6677392109,81606.5297722394,42185.807227546,36629.2487297311,47742.3657253609,2709.49589403892,1233.36866945031,4185.62311862753,6762.36105177755,4075.15845914153,9449.56364441356,10731.7934565887,7260.19857298695,14203.3883401904,24203.9597182964,20239.8132345653,28168.1062020275
"LOOP",34605.8349878308,31251.4639514458,37960.2060242158,30672.0309061982,27624.9039571957,33719.1578552007,25869.1967468161,23435.1134758373,28303.2800177948,23452.4607400085,20973.6997288816,25931.2217511354,22797.6009872719,20236.8564136449,25358.345560899,4209.05806674079,2287.98551101744,6130.13062246414,2235.8856914685,1218.92568889611,3252.84569404088,30680.3907320011,27638.3166811986,33722.4647828037,22273.092117207,19836.6452418052,24709.5389926088,1179.36862280149,417.85033864821,1940.88690695478,447.587306833457,69.931248901885,825.24336476503,1282.00564435564,545.974590037998,2018.03669867329,20468.3062341209,18016.3083971667,22920.3040710751
"LOWER WEST SIDE",34227.011100939,29887.7413125041,38566.2808893738,34102.8133157617,29764.4680654342,38441.1585660891,21875.0157750381,19235.7930930706,24514.2384570056,18178.8518633913,15701.7970479943,20655.9066787882,18471.2997195426,13933.3490759153,23009.2503631699,1218.54272760871,379.010678278188,2058.07477693924,27511.4345427981,22816.0435519728,32206.8255336234,34221.011100939,29882.7412235235,38559.2809783544,16204.607781315,13945.8227962908,18463.3927663392,1974.24408207628,1000.10181925999,2948.38634489257,7669.60910105679,5613.92723888519,9725.29096322838,5114.8055202818,3528.58697719215,6701.02406337146,5057.90773591051,3631.0499470739,6484.76552474712
"MCKINLEY PARK",16480.0961915794,14744.1393635614,18216.0530195974,16435.6063227123,14699.688124293,18171.5245211315,10452.2757460863,9401.56814663559,11502.9833455371,8248.61483090582,7180.71508401309,9316.51457779855,8062.48334406597,6339.08288466494,9785.883803467,536.485261996442,-2.96156386692345,1075.93208785981,9755.19402253675,8006.92523473292,11503.4628103406,16475.0961915794,14738.139452542,18212.0529306168,7122.18175034529,6148.58628571973,8095.77721497086,1126.43308056052,672.003716726729,1580.86244439432,3293.84864118365,2510.91523812485,4076.78204424246,2920.09649922056,2283.87063505372,3556.32236338739,2036.06948720531,1425.59007073568,2646.54890367493
"MONTCLARE",13026.2262913364,11363.5650115646,14688.8875711083,12942.9557256081,11282.2642076914,14603.6472435248,8533.48209893414,7603.9272127211,9463.03698514717,6393.28122437825,5415.4149773041,7371.14747145239,8193.08171631593,6689.21800257273,9696.94543005914,682.547417327139,372.711091955704,992.383742698573,8120.33424432905,6332.12797373096,9908.54051492715,12876.1811970484,11212.5200062571,14539.8423878396,5697.56764143209,4818.79779592379,6576.33748694039,695.71358294616,397.778084299204,993.649081593116,1915.76332331238,1444.09253353602,2387.43411308874,2863.62011478546,2143.62488025642,3583.61534931449,1315.71904892047,953.722019528702,1677.71607831224
"MORGAN PARK",29113,26455.2365103726,31770.7634896274,28753,26124.2339299359,31381.7660700641,19705,17947.1564278537,21462.8435721463,13746,11999.1554490673,15492.8445509327,11289,9756.13640722395,12821.8635927761,15891,13542.2090153745,18239.7909846255,2413,1200.10793343944,3625.89206656057,28604,26014.2304596934,31193.7695403066,12129,10429.1512669802,13828.8487330197,1617,830.070027713793,2403.92997228621,2099,1218.078391888,2979.921608112,5074,3702.12208135111,6445.87791864889,5628,4516.09894640119,6739.90105359881
"MOUNT GREENWOOD",18783,17462.1175433417,20103.8824566583,18056,16805.1113147013,19306.8886852987,12040,11179.0766122765,12900.9233877235,9292,8385.08070538299,10198.919294617,17269,15903.1215474677,18634.8784525323,664,354.02758397875,973.972416021249,1205,579.055701840959,1830.94429815904,18120,16828.114962905,19411.885037095,8678,7790.07901475204,9565.92098524796,614,286.029185629129,941.970814370871,589,262.029096648553,915.970903351448,3075,2410.05917208345,3739.94082791655,4274,3382.07937067434,5165.92062932566
"NEAR NORTH SIDE",84615.6186807614,76707.4888589548,92523.7485025681,82692.6186807614,74872.4810286641,90512.7563328588,70393.9246372289,63398.9856497755,77388.8636246823,58165.4216336402,51505.2091006068,64825.6341666736,63496.0683413949,55998.806037306,70993.3306454838,8118.68121001716,4555.1368991224,11682.2255209119,4449.01515447028,1739.6145061722,7158.41580276835,82841.6939850211,75001.5664789307,90681.8214911114,54493.9256514277,47796.7092924137,61191.1420104416,3671.49598221251,1472.83313814376,5870.15882628127,1685.51064908722,435.530019976862,2935.49127819758,3397.94141051646,1456.49984507027,5339.38297596265,55506.5508659697,48365.4496824305,62647.652049509
"NEAR SOUTH SIDE",21607.282321331,19674.8746546176,23539.6899880443,21409.1815880697,19449.8500040165,23368.513172123,16742.65822546,15362.0205664213,18123.2958844986,14856.3545343415,13396.156667924,16316.5524007591,10474.3691914539,9038.39327878544,11910.3451041223,5301.36654318848,3962.86013731959,6639.87294905738,1340.95729308995,768.83747615133,1913.07711002857,21414.6713836155,19444.7858883047,23384.5568789263,14293.4325908875,12823.6938542921,15763.1713274828,562.921943454056,224.66472779454,901.179159113573,1074.37131837165,569.121549659379,1579.62108708393,1222.19570568194,685.481214242202,1758.91019712168,11771.1008574951,10493.9872019579,13048.2145130322
"NEAR WEST SIDE",61712.4585924916,55221.6249711608,68203.2922138224,56820.3111255668,50759.4663456941,62881.1559054395,41310.058357485,37004.5278031789,45615.5889117911,38193.2990602138,33712.2139756599,42674.3841447677,29672.1873874827,25238.2911843017,34106.0835906638,19226.0335172206,14838.896865298,23613.1701691431,6173.66850632581,3572.15845707902,8775.17855557261,57484.4585924916,51240.6029929584,63728.3141920248,34509.9669365341,30516.6782397698,38503.2556332984,3683.33212367969,1713.4949466568,5653.16930070259,3383.48580100191,1850.58212699347,4916.38947501036,4541.21288297278,2721.81547695048,6360.61028899509,27255.3473794786,23746.339441809,30764.3553171481
"NEW CITY",41365.6098586571,35038.6417069279,47692.5780103862,41009.6438422946,34707.673466051,47311.6142185381,23609.5411042656,20050.8030095586,27168.2791989725,18628.513804266,15275.367293734,21981.660314798,21099.9352321595,16223.6361204017,25976.2343439173,10019.8013399818,6912.13270450409,13127.4699754595,25256.8594219455,19880.2935815302,30633.4252623608,41060.6098586571,34764.6389485301,47356.580768784,14608.1392098257,11764.4133774691,17451.8650421823,4020.37459444026,2376.46244411009,5664.28674477043,7830.85188095755,5611.26907416452,10050.4346877506,9888.30680224142,7396.73061618483,12379.882988298,1809.55680452197,945.946994244936,2673.16661479901
"NORTH CENTER",34623,31336.2924791553,37909.7075208447,34542,31255.2924791553,37828.7075208447,25565,23320.1997613945,27809.8002386055,22190,19858.2075027047,24521.7924972953,30421,27248.2823353696,33593.7176646304,701,65.0565916467259,1336.94340835327,4987,2798.19477848221,7175.80522151779,34568,31277.2928350776,37858.7071649224,21253,18954.2045663456,23551.7954336544,937,350.052231598472,1523.94776840153,1706,711.08853567373,2700.91146432627,2677,1611.09485329467,3742.90514670533,17419,15345.1845457159,19492.8154542841
"NORTH LAWNDALE",35357.7207392197,30083.7044397087,40631.7370387307,34482.7207392197,29344.6923383503,39620.7491400891,19616.7022587269,16623.1575614681,22610.2469559857,12227.0318275154,9784.92984464711,14669.1338103837,2091.03080082136,815.84037666049,3366.22122498222,31761.40862423,26602.2281015493,36920.5891469107,2484.46714579055,1027.36272507751,3941.5715665036,34777.7207392197,29585.6971433014,39969.744335138,9432.8839835729,7352.17283902445,11513.5951281213,2794.14784394251,1568.9539973555,4019.34169052951,5175.78952772074,3520.87108800291,6830.70796743857,6108.0431211499,4216.53587885068,7999.55036344911,2142.74127310062,1149.8481096616,3135.63443653963
"NORTH PARK",18442,16909.136407224,19974.863592776,17774,16255.1351614959,19292.8648385041,12831,11764.0949422752,13897.9050577248,9312,8234.09592106159,10389.9040789384,11454,10013.1282210109,12894.8717789891,656,53.0536552876977,1258.9463447123,3632,2385.11095877903,4878.88904122097,17828,16303.1356953793,19352.8643046207,8463,7411.0936075666,9514.9063924334,849,497.031321162968,1200.96867883703,1482,957.046714802721,2006.95328519728,2286,1666.0551679575,2905.9448320425,5831,4787.09289572199,6874.90710427801
"NORWOOD PARK",41387.7632850242,38655.9508293473,44119.575740701,40829.8647342995,38148.0478295938,43511.6816390052,30787.1111111111,28731.1346490721,32843.0875731501,21906.8405797101,19754.8895665145,24058.7915929058,36854.4130434783,33960.9000014478,39747.9260855088,386.98309178744,-21.9467017406099,795.912885315489,4756.66425120773,3281.54914266939,6231.77935974607,40894.9323671498,38211.1156404052,43578.7490938943,20400.0555555556,18248.2397960244,22551.8713150867,1506.78502415459,838.095737537203,2175.47431077198,2269.09178743961,1430.29928056385,3107.88429431538,7604.0845410628,5940.05629192968,9268.11279019593,11318.4492753623,9494.60433020204,13142.2942205226
"OAKLAND",6203.11499738435,5505.96793113944,6900.26206362926,6203.11499738435,5505.96793113944,6900.26206362926,3588.48246559487,3220.21418017708,3956.75075101267,2966.61737926107,2592.85065039017,3340.38410813197,223.16828860095,82.0664961369449,364.270081064955,5812.10216579252,5103.94745628771,6520.25687529732,202.364147623957,44.1425298613374,360.585765386577,6190.22709395986,5491.09744976858,6889.35673815114,2351.93402020549,1999.70495586156,2704.16308454943,614.683359055575,348.58865039282,880.778067718331,533.954341210969,337.517160604709,730.39152181723,686.385930903428,429.624546911328,943.147314895528,1023.4945103206,773.683236655148,1273.30578398605
"OHARE",21733.1998067857,19327.4977551713,24138.9018584001,21578.9751371822,19147.830415752,24010.1198586124,15768.9107272587,14576.8294121943,16960.992042323,11134.509003787,9779.29693923316,12489.7210683408,17411.2167555453,14682.0191694938,20140.4143415967,194.411283715898,-57.9924801878126,446.815047619607,3714.54469433496,2577.7091624673,4851.38022620261,21594.9751371822,19161.8305937131,24028.1196806512,10232.3621609089,8866.99591842361,11597.7284033942,902.14684287812,397.42883677667,1406.86484897957,2570.10823865832,1745.1279910416,3395.08848627504,4346.2144910735,3279.70049334519,5412.72848880181,4456.79525465646,3369.78658176182,5543.80392755112
"PORTAGE PARK",64856.5196209817,58071.0828953649,71641.9563465984,64774.8910000127,57991.6546965953,71558.1273034301,45310.8322159784,40944.5442052889,49677.1202266679,37204.3131930974,32614.9225827719,41793.7038034229,44869.2170868099,38296.3491705614,51442.0850030584,947.102344091556,50.3739667955992,1843.83072138751,27108.3597951717,20719.149951654,33497.5696386895,64781.9497767155,58033.7539560579,71530.1455973731,33826.9673328994,29519.4564299653,38134.4782358334,3377.34586019802,1873.80834839548,4880.88337200056,7794.54844596083,5166.63772823832,10422.4591636834,13769.2994958204,10786.2421256856,16752.3568659552,11176.0374320336,8502.14374627051,13849.9311177967
"PULLMAN",6530.45169548307,5581.45483203698,7479.44855892917,6530.31712438347,5581.31234569471,7479.32190307224,4673.41291479474,4126.51525556276,5220.31057402671,3369.13779175665,2832.16781824714,3906.10776526616,840.493664128047,569.706553677187,1111.28077457891,5469.92179418048,4605.88533050461,6333.95825785635,544.608811182029,264.522111813343,824.695510550715,6498.31712438347,5554.31190079183,7442.32234797512,2734.84562357242,2271.79224438332,3197.89900276152,634.292168184233,371.021642204858,897.562694163608,586.557407244276,340.463749938251,832.651064550301,1234.78149939627,828.729480380405,1640.83351841213,1005.64600667889,698.43070178725,1312.86131157054
"RIVERDALE",7147.18147796182,6252.28674088922,8042.07621503443,7099.18147796182,6202.28691885036,7996.07603707328,3042.06876475517,2698.8932420182,3385.24428749214,2304.44312855693,1863.77201761285,2745.11423950101,249.179968705585,23.8981887321517,474.461748679017,6742.04611025245,5795.05609835301,7689.03612215188,303.264507017336,25.9886306798138,580.540383354859,7035.18147796182,6141.28665190864,7929.07630401501,1404.83634503228,1105.27393213724,1704.39875792732,899.60678352465,601.234886523435,1197.97868052587,769.753765311014,480.810713880301,1058.69681674173,916.956809045496,625.546267578402,1208.36735051259,160.738677290989,56.9594213364516,264.517933245527
"ROGERS PARK",54193.556809025,47618.9001372946,60768.2134807554,50788.7655116841,44478.4406760433,57099.090347325,36877.0080580177,32702.5737328725,41051.442383163,31374.4157937147,27276.1068457775,35472.724741652,32251.0265914585,26443.560310979,38058.492871938,13676.485898469,9646.37394383065,17706.5978531073,13110.88638195,8525.38710583267,17696.3856580674,51067.5979049154,44733.1736828193,57402.0221270115,28375.5592264303,24488.6021394245,32262.5163134361,2998.85656728445,1547.78827423346,4449.92486033543,5851.99919419823,3400.00466183306,8303.9937265634,6969.01289282836,4672.25353906608,9265.77224659064,15442.045930701,12677.8817564081,18206.210104994
"ROSELAND",42505,36947.4945540448,48062.5054459552,41827,36343.4879694821,47310.5120305179,28088,24833.2896317769,31342.7103682231,17741,14762.2650731377,20719.7349268623,721,35.0610406755565,1406.93895932444,41032,35528.4897490937,46535.5102509063,450,-106.950437818827,1006.95043781883,41844,36376.4865457929,47311.5134542071,13489,10970.2241420725,16007.7758579275,4252,2618.14539426219,5885.85460573781,4440,2878.13898766067,6001.86101233933,7684,5742.17280027978,9625.82719972022,5573,3975.14219096143,7170.85780903857
"SOUTH CHICAGO",27939.7656890443,23836.5971511924,32042.9342268962,27773.8093183041,23675.6403355494,31871.9783010589,17199.0078724497,14700.0190731697,19697.9966717296,12124.9031672907,9737.19526649819,14512.6110680831,5148.6558022425,3243.77832812607,7053.53327635894,21033.646900641,17159.9150003371,24907.3788009448,6051.29275004356,4107.46356275014,7995.12193733698,27813.5510157211,23738.9000182782,31888.202013164,9602.92395944008,7515.66926889276,11690.1786499874,2521.97920785058,1336.96663962281,3706.99177607834,3946.75149071166,2521.14364219856,5372.35933922476,4773.31044849185,3380.60015753184,6166.02073945185,2750.05935928341,1711.37232422223,3788.74639434459
"SOUTH DEERING",15257.5993091537,13285.7592361925,17229.439382115,15173.7338802533,13202.9016335542,17144.5661269525,9707.86658031088,8642.63696358902,10773.0961970327,6908.82743235463,5820.55769552963,7997.09716917963,3973.5725388601,2967.01041297821,4980.134664742,10116.0320955671,8534.20481163696,11697.8593794972,4579.8654289004,3610.11796015578,5549.61289764503,15213.7338802533,13245.9013666124,17181.5663938942,5206.38183649971,4264.12544468159,6148.63822831783,1702.44559585492,1156.39401545161,2248.49717625823,2062.62780656304,1523.71275286413,2601.54286026195,3206.77259643063,2455.00054903419,3958.54464382706,1047.63039723661,670.954216449717,1424.30657802351
"SOUTH LAWNDALE",73572.3682266435,64895.6994573899,82249.0369958971,66012.2090269915,57834.6598261797,74189.7582278032,42181.4224960877,37146.3537189958,47216.4912731797,28977.0466954101,24414.3186794893,33539.7747113309,45896.132854643,37369.3748088009,54422.8909004852,8026.58471758029,5886.85358979756,10166.315845363,62945.5267057395,54659.9528567656,71231.1005547134,65972.2090269915,57799.6593812768,74144.7586727061,25223.9689827951,21120.2431600154,29327.6948055749,3753.07771261497,1996.3617657617,5509.79365946825,21435.2667026264,17386.8489830494,25483.6844222035,11708.6972842972,8780.05297575086,14637.3415928435,2458.33839635124,1140.26291389641,3776.41387880606
"SOUTH SHORE",49688.0560754618,42307.2153589956,57068.8967919281,48663.763503585,41311.6304879921,56015.896519178,32209.902000181,28113.1959531946,36306.6080471674,22561.2686610151,18345.1144557166,26777.4228663136,1398.96459528766,452.71737855511,2345.21181202021,46665.3155253869,39293.1386434841,54037.4924072898,805.090331352259,-42.6090809521433,1652.78974365666,48690.3350026649,41336.4918837231,56044.1781216067,17726.2212765358,14118.5744439952,21333.8681090765,4835.04738447924,2730.37126356142,6939.72350539706,4331.73455415774,2529.08254760849,6134.386560707,8285.43968745286,5800.54575846066,10770.3336164451,6787.03751088585,4531.32719398696,9042.74782778474
"UPTOWN",54440.1732101617,49362.2232417113,59518.1231786121,51797.5912240185,47075.0184070718,56520.1640409652,44251.3856812933,40103.0804678344,48399.6908947522,34766.7967667436,31006.5955846205,38526.9979488668,34096.415704388,29709.3095705629,38483.5218382131,11593.1016166282,8282.32926268093,14903.8739705754,6327.60277136259,3468.78788893139,9186.41765379379,53097.9191685912,48071.4634630095,58124.374874173,31360.0554272517,27728.5263975587,34991.5844569447,3406.74133949192,1704.47480777161,5109.00787121222,4753.6143187067,2773.18547325742,6734.04316415597,6799.57967667437,4467.18215238806,9131.97720096067,24266.9099307159,21065.8437495164,27467.9761119155
"WASHINGTON HEIGHTS",27116,24257.2543954685,29974.7456045315,26894,24035.2543954685,29752.7456045315,18965,17025.1726223186,20904.8273776814,13021,11046.1757366388,14995.8242633612,462,45.0371049004476,878.962895099553,26040,23186.2539505657,28893.7460494343,287,-44.9704584485645,618.970458448564,26820,23962.254306488,29677.745693512,10534,8883.14690693199,12184.853093068,2487,1509.08702300393,3464.91297699607,2036,1221.07251916994,2850.92748083006,5571,4213.12083562304,6928.87916437696,3973,2828.10188276022,5117.89811723978
"WASHINGTON PARK",12081,10305.1580295041,13856.8419704959,12022,10247.1579405235,13796.8420594765,6312,5381.08284091682,7242.91715908318,4868,3982.07883679088,5753.92116320912,107,-33.9874537386977,247.987453738698,11661,9902.15651683426,13419.8434831657,158,-50.981403059488,366.981403059488,11954,10209.1552711062,13698.8447288938,3349,2633.06371009286,4064.93628990714,1519,876.057214510762,2161.94278548924,1219,760.040842084666,1677.95915791534,1781,1209.05089688982,2352.94910311018,1067,613.040397181782,1520.95960281822
"WEST ELSDON",19310.2696476668,17535.6067451949,21084.9325501386,19296.3205490454,17520.6577355541,21071.9833625366,11142.6925117953,10191.630109208,12093.7549143827,9251.03012145706,7999.47719084567,10502.5830520684,10818.9576334112,8811.00347935476,12826.9117874676,283.781778265707,-23.9484776381616,591.512034169576,15455.4863162775,13665.9329386848,17245.0396938701,19220.4630729054,17451.8098159199,20989.1163298908,7915.69246858212,6744.71546367198,9086.66947349225,1335.33765287494,841.196700501432,1829.47860524845,3276.84543086938,2463.50821750314,4090.18264423562,4274.87560569002,3411.12171016598,5138.62950121406,993.96310914396,568.223292638003,1419.70292564992
"WEST ENGLEWOOD",32060.4710154821,26436.417015143,37684.5250158213,31818.8731591106,26249.9159017669,37387.8304164543,20057.9729908471,16905.5286216565,23210.4173600378,13041.6952956784,10224.4217280631,15858.9688632937,556.470607120888,-68.1952764756688,1181.13649071744,29911.8048203024,24470.4297020397,35353.1799385651,1559.81328806727,-159.32322875078,3278.94980488533,31796.0375762676,26232.3683265501,37359.706825985,8563.76763452298,6362.83822405529,10764.6970449907,4477.92766115544,2758.94433156606,6196.9109907448,4771.40556523724,3235.18976238218,6307.62136809231,8051.5733405924,5958.12252204702,10145.0241591378,1561.05731049007,703.344014252391,2418.77060672775
"WEST GARFIELD PARK",17780.9220028888,14729.8396383337,20832.0043674438,17627.9220028888,14587.8386595474,20668.0053462302,10068.7217140106,8258.99927268994,11878.4441553312,5656.15262397689,4390.99895869916,6921.30628925462,416.015888300433,-0.269166300636591,832.300942901502,17024.5122773231,13969.6088758103,20079.4156788358,355.883485796822,-97.3169164062626,809.083887999907,17623.0592200289,14623.3040164015,20622.8144236562,4668.06981222918,3574.41123732994,5761.72838712841,988.082811747713,425.683171796555,1550.48245169887,2778.93596533462,1865.38895044587,3692.48298022337,4033.36976408281,2880.12477286385,5186.61475530177,401.786230139624,136.431894657691,667.140565621558
"WEST LAWN",32862.8513946778,29660.3362854924,36065.3665038631,32848.8513946778,29643.3365524342,36054.3662369214,19828.1441167041,17744.2393069702,21912.0489264379,16142.2534466175,14161.4880639835,18123.0188292515,16380.400288554,13087.9908063783,19672.8097707297,1118.66335363899,402.213162685309,1835.11354459267,26451.3369669766,23151.5259312065,29751.1480027467,32852.7645078551,29653.4302634132,36052.098752297,14127.4858929144,12265.1085002796,15989.8632855491,2014.76755370311,1186.68927135725,2842.84583604897,6455.17281179865,4814.47848127744,8095.86714231987,6765.77733247836,5227.03769960131,8304.5169653554,2192.52500801539,1382.47766360507,3002.57235242571
"WEST PULLMAN",30510.8401362613,26444.4415991148,34577.2386734078,30434.8401362613,26373.4411542119,34496.2391183107,19273.4512945035,16951.9021110196,21595.0004779873,13264.3131442725,11040.0892797333,15488.5370088117,1383.55095426436,686.267681102408,2080.83422742631,28553.7669685283,24601.6912496297,32505.8426874268,1364.80532635472,811.182453762003,1918.42819894743,30343.5708629304,26272.599143663,34414.5425821979,10098.1770078564,8175.2636445654,12021.0903711473,3166.13613641615,2034.94574921426,4297.32652361805,3196.01183830419,2195.23863479663,4196.78504181174,6118.8992252589,4610.50725518696,7627.29119533085,2829.75978609635,1874.74351886315,3784.77605332955
"WEST RIDGE",72211,64553.6814132557,79868.3185867443,70585,63099.6661085965,78070.3338914035,48333,43281.449529873,53384.550470127,35699,30866.4300431268,40531.5699568732,41599,34296.649825151,48901.350174849,8377,4411.35289696685,12342.6471030332,12672,7103.49553283116,18240.5044671688,71100,63433.6822140809,78766.3177859191,32654,28078.4071751186,37229.5928248814,3045,1349.15091105794,4740.84908894206,8318,5064.2895427963,11571.7104572037,10665,7392.29123342726,13937.7087665727,19004,15391.3214868233,22616.6785131767
"WEST TOWN",86648.4520126362,77589.1473920018,95707.7566332706,85967.599479561,76977.2616161608,94957.9373429612,65204.5697276312,58517.1102567856,71892.0291984768,59305.9303342471,52879.5612535399,65732.2994149543,65307.6398371149,56250.7845991587,74364.4950750711,7033.97559622134,3206.3191656715,10861.6320267712,23338.516648548,15155.3952957597,31521.6380013363,86101.3767083766,77137.0552681919,95065.6981485612,55665.1127602991,49503.0895679614,61827.1359526368,3640.81757394798,1583.83746097285,5697.79768692312,7308.9911533209,3938.06550863091,10679.9167980109,7390.15009888644,4228.85368770804,10551.4465100648,40711.9861815512,35260.8988229401,46163.0735401624
"WOODLAWN",25374.8556452689,21637.8368743769,29111.8744161609,23972.2817870012,20318.7992043968,27625.7643696057,14618.5399773122,12603.3634260201,16633.7165286042,10060.846678233,8097.79581532626,12023.8975411398,2065.02934205258,1222.84300842018,2907.21567568498,21795.2784705725,18064.2688032685,25526.2881378765,655.02210329641,42.0496362467333,1267.99457034609,24045.8556452689,20396.8290440861,27694.8822464517,7843.68775924196,6174.81588261049,9512.55963587343,2217.15891899106,1215.62046264787,3218.69737533424,2389.37080608568,1402.32548815285,3376.41612401851,3216.78759241959,2032.88931035275,4400.68587448644,3662.84234085146,2625.39584275619,4700.28883894673
